,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_cosine_7_isomap_5,0.4002,0.8918,0.2047,2.2,207.4
kmeans_cosine_7_isomap_3,0.3907,0.8904,0.1653,2.2,225.2
kmeans_cosine_7_isomap_2,0.4074,0.8979,0.2193,2.2,181.9
kmeans_euclidean_constr_2_PCA_2,0.3904,0.8955,0.2174,2.2,171.5
spectral_4_PCA_7,0.4055,0.8841,0.2111,2.2,215.2
kmeans_cosine_2_PCA_5,0.3988,0.8959,0.2273,2.2,183.6
kmeans_5_isomap_3,0.4016,0.8872,0.2038,2.2,188.5
kmeans_2_PCA_7,0.3911,0.8968,0.2171,2.2,174.3
agglomerative_cosine_2_PCA_10,0.3995,0.8961,0.2266,2.2,180.0
kmeans_5_isomap_10,0.4045,0.8907,0.203,2.2,182.7
agglomerative_5_isomap_3,0.3955,0.8852,0.2105,2.2,192.2
specter_simcse_kmeans_7_PCA_3,0.2475,0.8406,0.1264,2.2,251.6
agglomerative_3_isomap_7,0.4036,0.8853,0.2074,2.2,183.8
kmeans_4_isomap_10,0.3856,0.8861,0.2065,2.2,188.9
agglomerative_cosine_5_isomap_768,0.3724,0.8833,0.1859,2.2,200.5
kmeans_2_PCA_2,0.3878,0.8966,0.2163,2.2,172.6
agglomerative_cosine_5_PCA_768,0.3724,0.8833,0.1859,2.2,200.5
kmeans_euclidean_constr_3_isomap_7,0.3911,0.8879,0.2102,2.2,183.7
kmeans_euclidean_constr_4_PCA_7,0.3979,0.8896,0.2034,2.2,189.6
kmeans_3_isomap_7,0.3895,0.8872,0.2071,2.2,184.3
kmeans_euclidean_constr_3_isomap_10,0.3966,0.8864,0.2102,2.2,187.8
agglomerative_cosine_5_PCA_2,0.4034,0.8864,0.2,2.2,195.6
agglomerative_cosine_3_PCA_10,0.4268,0.8905,0.2133,2.2,198.0
agglomerative_3_PCA_10,0.3953,0.8873,0.1976,2.2,197.9
agglomerative_cosine_3_isomap_5,0.4108,0.8897,0.2154,2.2,184.2
agglomerative_cosine_7_PCA_7,0.4087,0.8879,0.2062,2.3,192.9
kmeans_5_PCA_768,0.4018,0.8836,0.197,2.3,199.8
agglomerative_2_PCA_3,0.3911,0.8977,0.2169,2.3,182.2
kmeans_3_isomap_10,0.3919,0.8854,0.2061,2.3,189.4
kmeans_cosine_3_PCA_5,0.3384,0.7709,0.1157,2.3,364.4
agglomerative_4_PCA_10,0.4009,0.8838,0.1941,2.3,192.2
agglomerative_3_isomap_10,0.4044,0.8894,0.2196,2.3,180.3
kmeans_5_PCA_7,0.3904,0.8855,0.1908,2.3,189.8
kmeans_euclidean_constr_3_PCA_10,0.3855,0.8877,0.2155,2.3,182.6
kmeans_4_PCA_7,0.3929,0.8904,0.2046,2.3,185.3
agglomerative_7_PCA_10,0.389,0.8854,0.2018,2.3,192.4
kmeans_euclidean_constr_5_isomap_3,0.3968,0.8884,0.2017,2.3,190.2
specter_simcse_agglomerative_7_PCA_3,0.2419,0.8417,0.1313,2.4,248.0
kmeans_3_PCA_768,0.3748,0.8872,0.2114,2.4,186.1
kmeans_euclidean_constr_5_PCA_7,0.3912,0.8864,0.1928,2.4,194.9
agglomerative_cosine_4_PCA_2,0.3934,0.8906,0.2057,2.4,188.4
kmeans_cosine_4_isomap_768,0.4,0.8934,0.2153,2.4,189.0
specter_simcse_agglomerative_5_isomap_10,0.2644,0.8279,0.1338,2.5,240.6
agglomerative_cosine_4_PCA_3,0.3916,0.8844,0.2008,2.5,201.2
agglomerative_cosine_4_PCA_768,0.3589,0.8798,0.1899,2.5,194.9
kmeans_cosine_5_PCA_3,0.3309,0.8009,0.0943,2.5,370.0
