,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_5_PCA_7,0.3934,0.8876,0.1985,1.7,190.7
agglomerative_cosine_2_PCA_5,0.3934,0.896,0.2204,2.0,176.9
agglomerative_cosine_4_PCA_2,0.3934,0.8906,0.2057,2.4,188.4
kmeans_2_PCA_768,0.3934,0.8973,0.2199,1.8,171.4
agglomerative_7_PCA_3,0.3934,0.8898,0.1975,1.7,200.1
agglomerative_2_isomap_3,0.3932,0.8913,0.211,1.7,180.5
kmeans_cosine_2_PCA_7,0.393,0.8947,0.2234,2.8,178.7
kmeans_2_PCA_5,0.393,0.898,0.2201,2.1,172.0
kmeans_4_PCA_7,0.3929,0.8904,0.2046,2.3,185.3
kmeans_cosine_5_isomap_3,0.3929,0.8825,0.2115,1.8,184.8
agglomerative_2_PCA_7,0.3928,0.8939,0.2126,2.1,187.5
agglomerative_5_PCA_5,0.3927,0.8847,0.1954,1.8,205.3
agglomerative_2_PCA_2,0.3924,0.896,0.2154,1.9,175.6
spectral_4_PCA_3,0.3922,0.8851,0.1922,1.8,205.0
kmeans_cosine_5_isomap_7,0.3921,0.8937,0.2142,1.8,180.0
agglomerative_7_isomap_3,0.392,0.8908,0.2115,2.1,191.9
agglomerative_cosine_2_PCA_3,0.392,0.8914,0.2217,1.8,181.3
kmeans_3_isomap_10,0.3919,0.8854,0.2061,2.3,189.4
kmeans_cosine_4_isomap_3,0.3918,0.8735,0.186,1.7,256.9
kmeans_cosine_2_PCA_3,0.3917,0.897,0.2263,2.1,178.8
agglomerative_cosine_4_PCA_3,0.3916,0.8844,0.2008,2.5,201.2
kmeans_cosine_3_isomap_2,0.3912,0.865,0.1797,1.7,264.6
agglomerative_cosine_3_PCA_3,0.3912,0.8905,0.2115,2.7,192.5
kmeans_2_PCA_7,0.3911,0.8968,0.2171,2.2,174.3
agglomerative_2_PCA_3,0.3911,0.8977,0.2169,2.3,182.2
agglomerative_4_PCA_768,0.3908,0.8864,0.1982,2.0,197.8
kmeans_cosine_7_isomap_3,0.3907,0.8904,0.1653,2.2,225.2
kmeans_5_PCA_7,0.3904,0.8855,0.1908,2.3,189.8
agglomerative_cosine_3_isomap_768,0.3897,0.8898,0.2064,2.1,186.8
agglomerative_cosine_3_PCA_768,0.3897,0.8898,0.2064,2.1,186.8
kmeans_3_isomap_7,0.3895,0.8872,0.2071,2.2,184.3
kmeans_5_PCA_3,0.3892,0.8803,0.1885,1.7,201.1
agglomerative_7_PCA_10,0.389,0.8854,0.2018,2.3,192.4
kmeans_cosine_7_PCA_3,0.3888,0.8816,0.1596,2.0,262.8
kmeans_4_isomap_7,0.3888,0.8862,0.2054,1.8,189.6
kmeans_cosine_4_isomap_10,0.3886,0.8805,0.1577,2.1,248.9
agglomerative_cosine_2_PCA_7,0.3886,0.8971,0.2213,2.1,176.3
agglomerative_3_PCA_3,0.388,0.8877,0.2026,2.1,193.9
kmeans_2_PCA_2,0.3878,0.8966,0.2163,2.2,172.6
agglomerative_7_PCA_768,0.3876,0.8834,0.1852,1.9,190.0
spectral_4_PCA_768,0.3874,0.8077,0.1029,1.7,385.6
agglomerative_cosine_2_PCA_768,0.3871,0.8912,0.2017,1.9,196.7
agglomerative_cosine_2_isomap_768,0.3871,0.8912,0.2017,1.9,196.7
agglomerative_5_PCA_10,0.387,0.8854,0.1953,2.8,182.5
kmeans_3_PCA_10,0.3868,0.8884,0.2112,2.1,184.7
kmeans_cosine_5_isomap_10,0.3865,0.8747,0.1571,2.0,245.2
kmeans_3_PCA_5,0.3857,0.884,0.2116,2.0,189.0
kmeans_4_isomap_10,0.3856,0.8861,0.2065,2.2,188.9
kmeans_cosine_4_isomap_2,0.3851,0.8696,0.1409,1.9,267.8
spectral_5_PCA_5,0.385,0.8825,0.1846,2.0,212.4
agglomerative_2_PCA_768,0.3848,0.8992,0.2146,2.1,185.1
agglomerative_3_isomap_5,0.3838,0.8851,0.2124,1.8,186.8
kmeans_3_PCA_7,0.3833,0.8881,0.211,1.8,187.4
kmeans_cosine_4_PCA_768,0.3824,0.8925,0.203,1.9,180.0
