,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
scibert_average_kmeans_7_PCA_5,0.552,0.6927,0.4825,1.6,18.7
scibert_average_kmeans_7_PCA_3,0.5515,0.695,0.4635,1.6,19.1
scibert_average_agglomerative_4_PCA_3,0.5507,0.6946,0.4655,1.5,19.0
scibert_average_agglomerative_5_PCA_5,0.549,0.6878,0.4676,1.5,19.0
scibert_average_agglomerative_4_PCA_5,0.5486,0.6858,0.4668,1.5,19.0
scibert_average_agglomerative_3_PCA_5,0.5467,0.685,0.4643,1.5,19.1
scibert_average_kmeans_5_PCA_2,0.5435,0.6888,0.4603,1.5,18.9
scibert_average_kmeans_4_PCA_2,0.5432,0.6789,0.4413,1.3,19.3
scibert_average_kmeans_3_PCA_3,0.5422,0.6776,0.4376,1.3,19.5
scibert_average_agglomerative_4_PCA_2,0.5407,0.6776,0.4383,1.5,19.4
scibert_average_agglomerative_5_isomap_10,0.5407,0.6903,0.4375,1.4,19.1
scibert_average_kmeans_2_isomap_2,0.5406,0.7325,0.4759,1.9,17.9
