name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
Αναστάσιος Μικρόπουλος,Anastasios Mikropoulos,Παιδαγωγικό Δημοτικής Εκπαίδευσης,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,9865,Tassos Anastasios Mikropoulos,3ZaLmnkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Μνιέστρης ,Andreas Mniestris ,Μουσικών Σπουδών,Ιόνιο Πανεπιστήμιο,ionio,Αναπληρωτής Καθηγητής,3752,Unknown,Unknown,Unknown,Unknown,Andreas Mniestris,Andreas_Mniestris,profile,3
Παναγιώτα Μορφούλη,Panagiota Morfouli,school of Engineering and Management,Institut Polytechnique de Grenoble,Institut Polytechnique de Grenoble,Καθηγητής,5054,Unknown,Unknown,Unknown,Unknown,Panagiota Morfouli,Panagiota-Morfouli,profile,3
Κυριάκος Μουρατίδης,Kyriakos Mouratidis,Επιστήμης Υπολογιστών,Singapore Management University,Singapore Management University,Αναπληρωτής Καθηγητής,7843,Kyriakos Mouratidis,vq5oTnEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαράλαμπος Μουρατίδης,Charalampos Mouratidis,"School of Computing, Engineering and Mathematics",University of Brighton,University of Brighton,Καθηγητής,1072,Haralambos Mouratidis,sw7Y1IAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μουρλάς,Konstantinos Mourlas,Επικοινωνίας & Μέσων Μαζικής Ενημέρωσης,ΕΚΠΑ,uoa,Αναπληρωτής Καθηγητής,19426,Constantinos Mourlas,dpp4-kkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Μουρτζόπουλος,Ioannis Mourtzopoulos,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18243,John Mourjopoulos,CitiWhkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μουστάκας,Konstantinos Moustakas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Αναπληρωτής Καθηγητής,18850,Konstantinos Moustakas,E361geAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος  Μουστακίδης,Georgios  Moustakidis,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,9762,George V. Moustakides,O5YDyjoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Μουχτάρης,Athanasios Mouchtaris,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Αναπληρωτής Καθηγητής,19537,Athanasios Mouchtaris,CMNg4XUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παντελής Μπάγκος,Pantelis Bagkos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,18109,Pantelis Bagos,k3osijsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στυλιανός Μπακαμίδης,Stylianos Bakamidis,Ινστιτούτο Επεξεργασίας του Λόγου,Ε.Κ. Αθηνά,athena-innovation,Διευθυντής Ερευνών,17848,Unknown,Unknown,Unknown,Unknown,Stelios Bakamidis,Stelios-Bakamidis-70993941,scientific-contributions,3
 Κωνσταντίνος Μπάλας, Konstantinos Balas,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Καθηγητής,19456,Costas Balas,NkVkf9QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευριπίδης Μπάμπης,Evripidis Bampis,Computer Science,"Sorbonne Universités, Université Pierre et Marie Curie (Paris 6)","Sorbonne Universités, Université Pierre et Marie Curie (Paris 6)",Καθηγητής,1861,Evripidis Bampis,EWSHV58AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεράσιμος Μπαρμπάτης,Gerasimos Barmpatis,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,6742,Gerassimos Barbatis,RPgXKw8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Μπέλλας ,Nikolaos Bellas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth, Καθηγητής,9811,Nikolaos Bellas,vHo4xHoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Μπένος,Panagiotis Benos,Computational and Systems Biology,University of Pittsburgh,University of Pittsburgh,Καθηγητής,1128,Panayiotis (Takis) Benos,B5NDW0EAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κων/νος Μπερμπερίδης,Kon/nos Bermperidis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,9995,K Berberidis,oxBjm0IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Μπικάκης,Antonios Bikakis, Information Studies,University College London,University College London,Αναπληρωτής Καθηγητής,5450,Antonis Bikakis,KBQAiW4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Άγγελος Μπίλας,Angelos Bilas,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,18041,Angelos Bilas,JZDNQaMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλέξιος Μπίρμπας,Alexios Birmpas,Ηλεκτρ. Μηχ. και τεχν. Η/Υ,Παν/μιο Πατρών,upatras,Καθηγητής,19404,Alexios Birbas,kCHXN28AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μπλέκας,Konstantinos Blekas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Αναπληρωτής Καθηγητής,8741,Konstantinos Blekas,dgH4XJkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σπυρίδων Μπλιώνας,Spyridon Blionas,Πληροφορικής & Τηλεπικοινωνιών,Πανεπιστήμιο Πελοποννήσου,uop,Αναπληρωτής Καθηγητής,11178,Blionas,eGFLu38AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αντώνιος Μπόγρης,Antonios Bogris,Μηχανικών Πληροφορικής και Υπολογιστών Πανεπιστήμιο Δυτικής Αττικής  (Μηχανικών Πληροφορικής Τ.Ε.),Πανεπιστήμιο Δυτικής Αττικής  (ΤΕΙ Αθήνας),uniwa,Καθηγητής,18905,Adonis Bogris,3lXJLxwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Μπούρας ,Christos Bouras ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,9829,Christos J. Bouras,p7sg-GwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Μπουρμπάκης,Nikolaos Bourmpakis,Informatics and Technology,Wright State University,Wright State University,Καθηγητής,2334,Unknown,Unknown,Unknown,Unknown,Nikolaos G Bourbakis,Nikolaos-G-Bourbakis-35011032,scientific-contributions,3
Ιωάννης Μπούταλης,Ioannis Boutalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,ΔΠΘ,duth,Καθηγητής,19667,Yiannis Boutalis,DtG4Y5MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ματτίας Μπούχερ,Mattias Boucher,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,6511,Matthias Bucher,zgJbCb0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παύλος Μωραϊτης,Pavlos Moraitis,Mathematics and Computer Science,Paris Descartes University/Laboratory of Informatics Paris Descartes (LIPADE),Paris Descartes University/Laboratory of Informatics Paris Descartes (LIPADE),Καθηγητής,3395,Unknown,Unknown,Pavlos Moraitis,1865895,Unknown,Unknown,Unknown,2
Κωνσταντίνα Νικήτα,Konstantina Nikita,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,10889,Konstantina Nikita,4t9gJcUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαρία Νικολαϊδη,Maria Nikolaidi,Πληροφορικής και Τηλεματικής,Χαροκόπειο Πανεπιστήμιο,hua,Καθηγητής,19523,Maria Nikolaidi,0O0Nu2cAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Σπυρίδων Νικολαϊδης, Spyridon Nikolaidis,Φυσικής,ΑΠΘ,auth,Καθηγητής,18160,Spyridon Nikolaidis,CeK-UugAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Νικολαϊδης,Ioannis Nikolaidis,Computing Science,University of Alberta,University of Alberta,Professor,7285,Ioanis Nikolaidis,GXSdAk0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σωτήριος Νικολετσέας,Sotirios Nikoletseas,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19750,Sotiris Nikoletseas,hk2ylNwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Νικολόπουλος,Dimitrios Nikolopoulos,"School of Electronics, Electrical Engineering and Computer Science",Virginia Polytechnic Inst.and State Univ.,Virginia Polytechnic Inst.and State Univ.,Καθηγητής,9012,Dimitrios S. Nikolopoulos,PkCuYUQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Νικολόπουλος,Christos Nikolopoulos,Μαθηματικών,Πανεπιστήμιο Αιγαίου,aegean,Αναπληρωτής Καθηγητής,6112,Christos V. Nikolopoulos,TJKJTewAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σταύρος Νικολόπουλος,Stavros Nikolopoulos,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,8631,Stavros D. Nikolopoulos,Uk8Tkt0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Δημήτριος Νικολός, Dimitrios Nikolos,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18928,Dimitris Nikolos,kndWOCIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χριστόφορος Νίκου,Christoforos Nikou,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστημιο Ιωαννίνων,uoi, Καθηγητής,1690,Christophoros Nikou,LOHLQrMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Νταραντούμης,Athanasios Ntarantoumis,Πολιτισμικής Τεχνολογίας και Επικοινωνίας,Πανεπιστήμιο Αιγαίου,aegean, Καθηγητής,18062,Thanasis Daradoumis,5oD0RKcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αναστάσιος Ντελόπουλος,Anastasios Ntelopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18211,Anastasios Delopoulos,yBp_7EEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ειρήνη Ντούτση,Eirini Ntoutsi,Faculty of Electrical Engineering and Computer Science,"Leibniz University Hannover, Germany","Leibniz University Hannover, Germany",Αναπληρωτής καθηγητής,27772,Eirini Ntoutsi,RdA9uxYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θωμάς Ξένος,Thomas Xenos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,9959,Thomas Xenos,NFCJxPMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κώστας Ξυδέας,Kostas Xydeas,Electrical Engineering,Lancaster University,Lancaster University,Professor,10238,C.Xydeas,ntIPBqMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στυλιανός Ξυνόγαλος,Stylianos Xynogalos,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Αναπληρωτής Καθηγητής,23170,Stelios Xinogalos,TquBXjAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αναστάσιος  Οικονομίδης,Anastasios  Oikonomidis,Οικονομικών Επιστημών,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,19652,Anastasios A. Economides,1AAOD6YAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Οικονόμου,Georgios Oikonomou,Φυσικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18334,George Economou,j9XzkygAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Πολυξένη Παγγέ - Λέκκα,Polyxeni Pange - Lekka,Παιδαγωγικό Νηπιαγωγών,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,9339,Jenny Pagge    Pange,FMxD7AMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αριστείδης Παγουρτζής,Aristeidis Pagourtzis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,11423,Aris Pagourtzis,xh1BcAwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Λεωνίδας Παληός,Leonidas Palios,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,10841,Leonidas Palios,fk4I4B8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Παλιούρας,Georgios Paliouras,Ιντστιτούτο Πληροφορικής και Τηλεπικοινωνιών,"Εθνικό Κέντρο Ερευνας Φυσικών Επιστημών ""ΔΗΜΟΚΡΙΤΟΣ""",demokritos,Διευθυντής Ερευνών,17659,Georgios Paliouras,-pec7wIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γιώργος Πάλλης,Giorgos Pallis,Πληροφορικής,University of Cyprus,University of Cyprus,Αναπληρωτής Καθηγητής,21434,George Pallis,kNkLOHcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Παναγιωτακόπουλος,Christos Panagiotakopoulos,Επιστημών της Εκπαίδευσης & Κοινωνικής Εργασίας,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,5858,Christos T. Panagiotakopoulos,v11QHGsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεμιστοκλής Παναγιωτόπουλος,Themistoklis Panagiotopoulos,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,2296,Unknown,Unknown,Unknown,Unknown,Themis Panayiotopoulos,Themis-Panayiotopoulos-35530973,scientific-contributions,3
Δημήτριος  Πάντος,Dimitrios  Pantos,Electrical Engineering,State University of New York at Buffalo,State University of New York at Buffalo,Professor,4330,Dimitris A Pados,tczyXJUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Παπαγιαννάκης,Georgios Papagiannakis,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Αναπληρωτής Καθηγητής,1020,George Papagiannakis,rUfyI3MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεωργιος Άγγελος Παπαδόπουλος,Georgios Angelos Papadopoulos,Computer Science,University of Cyprus,University of Cyprus,Καθηγητής,1261,George Α. Papadopoulos,UvQERXUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γιάννης Παπαδόπουλος,Giannis Papadopoulos,Computer Science,University of Hull,University of Hull,Καθηγητής,720,Yiannis Papadopoulos,GpwIX-QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Παπαϊωάννου,Georgios Papaioannou,Πληροφορικής,ΟΠΑ,aueb,Αναπληρωτής Καθηγητής,8098,Georgios Papaioannou,aZVSd0QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γιάννης Παπακωνσταντίνου,Giannis Papakonstantinou,Computer Science and Engineering ,"University of California, San Diego","University of California, San Diego",Καθηγητής,9165,Yannis Papakonstantinou,81cvn3sAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Παπαμάρκος,Nikolaos Papamarkos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Δημοκρίτειο Πανεπιστήμιο Θράκης,duth,Καθηγητής,18596,Nikos Papamarkos,E8a90xYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Παπανάνος,Ioannis Papananos,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17725,Unknown,Unknown,Unknown,Unknown,Yannis Papananos,Yannis-Papananos-35681746,scientific-contributions,3
Ευάγγελος Παπαπέτρου,Evangelos Papapetrou,Μηχανικών Η/Υ & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Επίκουρος Καθηγητής (Μόνιμος),5478,Evangelos Papapetrou,R6Ldg5UAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Παπασαλούρος,Andreas Papasalouros,Μαθηματικών,Πανεπιστήμιο Αιγαίου,aegean,Επίκουρος Καθηγητής (Μόνιμος),10471,Andreas Papasalouros,Lv-cQa8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Παπασπύρου,Nikolaos Papaspyrou,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,17609,Nikolaos Papaspyrou,sB4E4lcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αθανάσιος Παπίστας,Athanasios Papistas,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,19312,Unknown,Unknown,Unknown,Unknown,Athanassios Papistas,Athanassios_Papistas,profile,3
Νικόλαος Παραγυιός,Nikolaos Paragyios,Applied Mathematics,Ecole Centrale de Paris,Ecole Centrale de Paris,Καθηγητής,5426,Nikos Paragios,7edhlaQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Φωτεινή Παρασκευά,Foteini Paraskeva,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,5159,Foteini Paraskeva (Fotini),IeaP7wIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Αντώνιος Πασχάλης, Antonios Paschalis,Πληροφοριοκής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,2249,Antonis Paschalis,q8LRbY4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βαγγέλης Πάσχος,Vangelis Paschos,Computer Science,University Paris-Dauphine,University Paris-Dauphine,Καθηγητής,7485,Vangelis Paschos,dCUE-DUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Παττίχης,Konstantinos Pattichis, Computer Science,University of Cyprus,University of Cyprus,Καθηγητής,5314,Constantinos S. Pattichis,XPzbiZUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Παυλίδης,Georgios Pavlidis,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,1164,Unknown,Unknown,Unknown,Unknown,George Pavlidis,George-Pavlidis-2159400883,scientific-contributions,3
Νίκος Παυλίδης,Nikos Pavlidis,Management Science,Lancaster University,Lancaster University,Αναπληρωτής καθηγητής,27390,Nicos Pavlidis,WyUGbdkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Φωτεινή - Νιόβη Παυλίδου ,Foteini - Niovi Pavlidou ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,10392,Unknown,Unknown,F. Pavlidou,3213730,Unknown,Unknown,Unknown,2
Γεώργιος Παύλου,Georgios Pavlou, Electronic and Electrical Engineering,University College London,University College London,Καθηγητής,11268,George Pavlou,OuIZM_0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κιαμάλ Πεκμεστζή,Kiamal Pekmestzi,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,2013,Kiamal Pekmestzi,MVkryn8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Νικόλαος Πελεκάνος, Nikolaos Pelekanos,Επιστήμηης και Τεχνολογίας Υλικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,7389,Nikos Pelekanos,Uj9w0jUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Πελέκης,Nikolaos Pelekis,Στατιστικής και Ασφαλιστικής Επιστήμης,Πανεπιστήμιο Πειραιώς,unipi,Αναπληρωτής Καθηγητής,23417,Nikos Pelekis,iphQ2EkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παύλος Πέππας,Pavlos Peppas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19540,Pavlos Peppas,44G4locAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σταύρος Περαντώνης,Stavros Perantonis,Ινστιτούτο Πληροφορικής και Τηλεπικοινωνιών,"Εθνικό Κέντρο Ερευνας Φυσικών Επιστημών ""ΔΗΜΟΚΡΙΤΟΣ""",demokritos,Διευθυντής Ερευνών,17487,Stavros Perantonis,y3fDadgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευρυπίδης Πετράκης,Evrypidis Petrakis,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνέιο Κρήτης,tuc,Καθηγητής,3599,Euripides G.M. Petrakis,avH0gk4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιλτιάδης Πετρίδης,Miltiadis Petridis,School of Computing Engineering and Mathematics,Unibersity of Brighton,Unibersity of Brighton,Καθηγητής,4100,Miltos Petridis,OYxJzq0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευαγγελία Πιτουρά,Evangelia Pitoura,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,4652,Evaggelia Pitoura,3r_xVvkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Πιτσιλλίδης,Andreas Pitsillidis, Computer Science,University of Cyprus,University of Cyprus,Καθηγητής,11513,Andreas Pitsillides,-yeSOEwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Πλεξουσάκης,Dimitrios Plexousakis,Έπιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,2191,Dimitris Plexousakis,oY_DnEoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Διονύσιος Πνευματικάτος ,Dionysios Pnevmatikatos ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18599,Dionisios Pnevmatikatos,TKtxe-UAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Πολίτης,Christos Politis,"Faculty of Science, Engineering and Computing",Kingston University London,Kingston University London,Καθηγητής,1786,Christos Politis,-U99zuEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος  Πολύζος,Georgios  Polyzos,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,8037,George C. Polyzos,y-Mxxa0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νεοκλής Πολυζώτης,Neoklis Polyzotis,Επιστήμης Υπολογιστών,University of California Santa Cruz,University of California Santa Cruz,Καθηγητής,5718,Neoklis Polyzotis,vfIriy4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αλέξανδρος Ποταμιάνος,Alexandros Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,3760,Alexandros Potamianos,pBQViyUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεράσιμος Ποταμιάνος,Gerasimos Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Αναπληρωτής Καθηγητής,8779,Gerasimos Potamianos,DjcaM1MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Πουλάκης,Dimitrios Poulakis,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,19745,Unknown,Unknown,Dimitrios Poulakis,3353228,Unknown,Unknown,Unknown,2
Ιωάννης Πρατικάκης,Ioannis Pratikakis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ΔΠΘ,duth,Καθηγητής,17933,Ioannis Pratikakis,lCVokogAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδριάνα Πρέντζα,Andriana Prentza,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,6222,Unknown,Unknown,Unknown,Unknown,Andriana Prentza,Andriana-Prentza-2119906780,scientific-contributions,3
Κωνσταντίνος Ραυτόπουλος,Konstantinos Raftopoulos,,Conservatoire National des Arts et Métiers (CNAM),Conservatoire National des Arts et Métiers (CNAM),Κύριος Ερευνητής,2262,Unknown,Unknown,Konstantinos A. Raftopoulos,104421781,Unknown,Unknown,Unknown,2
Γεώργιος Ραχώνης,Georgios Rachonis,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,19520,Unknown,Unknown,Unknown,Unknown,George Rahonis,George-Rahonis,profile,3
Ιωάννης Ρέκανος,Ioannis Rekanos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΑΠΘ,auth,Καθηγητής,19355,Ioannis T. Rekanos,tLc8zDcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Συμεών Ρετάλης,Symeon Retalis,Ψηφιακών Συστημάτων,Πανεπιστήμιο Πειραιώς,unipi, Καθηγητής,5704,Symeon Retalis,JUX2KJcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Ροβιθάκης,Georgios Rovithakis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,11104,George A. Rovithakis,fvaSCo0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Ρόθος,Vasileios Rothos,Μηχανολόγων Μηχανικών,ΑΠΘ,auth,Καθηγητής,6060,Vassilis Rothos,kQ_xRCIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Ροντογιάννης,Panagiotis Rontogiannis,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,6836,Panos Rondogiannis,a6x5amYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Ρουμελιώτης,Emmanouil Roumeliotis,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,9385,Unknown,Unknown,Unknown,Unknown,Emmanouel Roumeliotes,Emmanouel-Roumeliotes-17699705,scientific-contributions,3
